Sample 1
4/14/2024 5:07 PM
Wavelength (nm)	10mm Absorbance
289.5	2.462
290.0	2.305
290.5	2.158
291.0	1.990
291.5	1.807
292.0	1.693
292.5	1.551
293.0	1.375
293.5	1.128
294.0	0.898
294.5	0.721
295.0	0.582
295.5	0.515
296.0	0.478
296.5	0.454
297.0	0.484
297.5	0.454
298.0	0.358
298.5	0.227
299.0	0.152
299.5	0.067
300.0	-0.009
300.5	-0.018
301.0	-0.056
301.5	-0.076
302.0	-0.041
302.5	-0.041
303.0	-0.066
303.5	-0.083
304.0	-0.120
304.5	-0.177
305.0	-0.269
305.5	-0.305
306.0	-0.310
306.5	-0.278
307.0	-0.251
307.5	-0.244
308.0	-0.211
308.5	-0.178
309.0	-0.185
309.5	-0.198
310.0	-0.255
310.5	-0.253
311.0	-0.250
311.5	-0.223
312.0	-0.192
312.5	-0.192
313.0	-0.195
313.5	-0.196
314.0	-0.244
314.5	-0.235
315.0	-0.259
315.5	-0.247
316.0	-0.254
316.5	-0.175
317.0	-0.155
317.5	-0.106
318.0	-0.130
318.5	-0.140
319.0	-0.157
319.5	-0.111
320.0	-0.092
320.5	-0.067
321.0	-0.045
321.5	-0.012
322.0	-0.046
322.5	-0.053
323.0	-0.132
323.5	-0.180
324.0	-0.206
324.5	-0.216
325.0	-0.211
325.5	-0.237
326.0	-0.240
326.5	-0.245
327.0	-0.298
327.5	-0.305
328.0	-0.291
328.5	-0.241
329.0	-0.176
329.5	-0.169
330.0	-0.157
330.5	-0.151
331.0	-0.159
331.5	-0.167
332.0	-0.204
332.5	-0.241
333.0	-0.207
333.5	-0.192
334.0	-0.167
334.5	-0.198
335.0	-0.161
335.5	-0.123
336.0	-0.125
336.5	-0.145
337.0	-0.156
337.5	-0.168
338.0	-0.157
338.5	-0.227
339.0	-0.254
339.5	-0.223
340.0	-0.211
340.5	-0.174
341.0	-0.151
341.5	-0.161
342.0	-0.102
342.5	-0.043
343.0	-0.050
343.5	-0.092
344.0	-0.118
344.5	-0.110
345.0	-0.128
345.5	-0.159
346.0	-0.194
346.5	-0.199
347.0	-0.170
347.5	-0.116
348.0	-0.100
348.5	-0.102
349.0	-0.079
349.5	-0.058
350.0	-0.037
350.5	-0.069
351.0	-0.056
351.5	-0.080
352.0	-0.104
352.5	-0.153
353.0	-0.206
353.5	-0.220
354.0	-0.212
354.5	-0.214
355.0	-0.176
355.5	-0.104
356.0	-0.050
356.5	-0.103
357.0	-0.106
357.5	-0.153
358.0	-0.180
358.5	-0.205
359.0	-0.236
359.5	-0.273
360.0	-0.275
360.5	-0.249
361.0	-0.240
361.5	-0.264
362.0	-0.231
362.5	-0.205
363.0	-0.184
363.5	-0.172
364.0	-0.157
364.5	-0.153
365.0	-0.134
365.5	-0.118
366.0	-0.119
366.5	-0.138
367.0	-0.116
367.5	-0.087
368.0	-0.071
368.5	-0.109
369.0	-0.139
369.5	-0.148
370.0	-0.135
370.5	-0.144
371.0	-0.142
371.5	-0.122
372.0	-0.072
372.5	-0.029
373.0	-0.022
373.5	-0.104
374.0	-0.176
374.5	-0.187
375.0	-0.210
375.5	-0.232
376.0	-0.216
376.5	-0.147
377.0	-0.094
377.5	-0.084
378.0	-0.078
378.5	-0.174
379.0	-0.183
379.5	-0.127
380.0	-0.132
380.5	-0.134
381.0	-0.129
381.5	-0.059
382.0	-0.045
382.5	-0.067
383.0	-0.049
383.5	-0.082
384.0	-0.081
384.5	-0.069
385.0	-0.094
385.5	-0.140
386.0	-0.153
386.5	-0.128
387.0	-0.104
387.5	-0.090
388.0	-0.034
388.5	-0.051
389.0	-0.095
389.5	-0.159
390.0	-0.187
390.5	-0.251
391.0	-0.241
391.5	-0.240
392.0	-0.220
392.5	-0.204
393.0	-0.154
393.5	-0.145
394.0	-0.107
394.5	-0.109
395.0	-0.075
395.5	-0.076
396.0	-0.064
396.5	-0.099
397.0	-0.126
397.5	-0.131
398.0	-0.159
398.5	-0.156
399.0	-0.140
399.5	-0.119
400.0	-0.097
400.5	-0.079
401.0	-0.072
401.5	-0.079
402.0	-0.065
402.5	-0.070
403.0	-0.095
403.5	-0.094
404.0	-0.102
404.5	-0.083
405.0	-0.082
405.5	-0.085
406.0	-0.085
406.5	-0.092
407.0	-0.075
407.5	-0.046
408.0	-0.024
408.5	0.005
409.0	-0.035
409.5	-0.060
410.0	-0.079
410.5	-0.083
411.0	-0.075
411.5	-0.089
412.0	-0.080
412.5	-0.022
413.0	0.003
413.5	0.002
414.0	-0.037
414.5	-0.055
415.0	-0.084
415.5	-0.069
416.0	-0.115
416.5	-0.139
417.0	-0.168
417.5	-0.146
418.0	-0.130
418.5	-0.151
419.0	-0.129
419.5	-0.115
420.0	-0.102
420.5	-0.102
421.0	-0.130
421.5	-0.112
422.0	-0.108
422.5	-0.087
423.0	-0.057
423.5	-0.058
424.0	-0.035
424.5	-0.024
425.0	-0.055
425.5	-0.097
426.0	-0.122
426.5	-0.153
427.0	-0.188
427.5	-0.194
428.0	-0.164
428.5	-0.143
429.0	-0.117
429.5	-0.097
430.0	-0.121
430.5	-0.116
431.0	-0.132
431.5	-0.153
432.0	-0.184
432.5	-0.152
433.0	-0.137
433.5	-0.109
434.0	-0.090
434.5	-0.094
435.0	-0.134
435.5	-0.144
436.0	-0.156
436.5	-0.173
437.0	-0.198
437.5	-0.190
438.0	-0.174
438.5	-0.134
439.0	-0.117
439.5	-0.146
440.0	-0.148
440.5	-0.131
441.0	-0.127
441.5	-0.156
442.0	-0.162
442.5	-0.162
443.0	-0.160
443.5	-0.145
444.0	-0.117
444.5	-0.136
445.0	-0.103
445.5	-0.084
446.0	-0.070
446.5	-0.064
447.0	-0.061
447.5	-0.097
448.0	-0.136
448.5	-0.124
449.0	-0.105
449.5	-0.103
450.0	-0.087
450.5	-0.055
451.0	-0.039
451.5	-0.020
452.0	-0.051
452.5	-0.084
453.0	-0.113
453.5	-0.117
454.0	-0.132
454.5	-0.118
455.0	-0.095
455.5	-0.076
456.0	-0.061
456.5	-0.068
457.0	-0.061
457.5	-0.075
458.0	-0.084
458.5	-0.114
459.0	-0.150
459.5	-0.143
460.0	-0.134
460.5	-0.150
461.0	-0.155
461.5	-0.142
462.0	-0.126
462.5	-0.130
463.0	-0.134
463.5	-0.126
464.0	-0.071
464.5	-0.027
465.0	-0.001
465.5	0.030
466.0	0.030
466.5	0.013
467.0	-0.023
467.5	-0.070
468.0	-0.115
468.5	-0.127
469.0	-0.089
469.5	-0.092
470.0	-0.100
470.5	-0.077
471.0	-0.078
471.5	-0.080
472.0	-0.059
472.5	-0.064
473.0	-0.053
473.5	-0.036
474.0	-0.038
474.5	-0.060
475.0	-0.064
475.5	-0.064
476.0	-0.040
476.5	-0.053
477.0	-0.052
477.5	-0.080
478.0	-0.090
478.5	-0.074
479.0	-0.089
479.5	-0.118
480.0	-0.111
480.5	-0.126
481.0	-0.114
481.5	-0.128
482.0	-0.118
482.5	-0.134
483.0	-0.114
483.5	-0.108
484.0	-0.132
484.5	-0.161
485.0	-0.149
485.5	-0.133
486.0	-0.110
486.5	-0.078
487.0	-0.069
487.5	-0.066
488.0	-0.060
488.5	-0.105
489.0	-0.172
489.5	-0.166
490.0	-0.159
490.5	-0.139
491.0	-0.117
491.5	-0.091
492.0	-0.113
492.5	-0.120
493.0	-0.131
493.5	-0.131
494.0	-0.158
494.5	-0.135
495.0	-0.122
495.5	-0.089
496.0	-0.033
496.5	-0.002
497.0	-0.033
497.5	-0.052
498.0	-0.050
498.5	-0.059
499.0	-0.101
499.5	-0.132
500.0	-0.122
500.5	-0.109
501.0	-0.077
501.5	-0.101
502.0	-0.128
502.5	-0.145
503.0	-0.129
503.5	-0.109
504.0	-0.086
504.5	-0.075
505.0	-0.031
505.5	-0.022
506.0	0.000
506.5	-0.009
507.0	-0.020
507.5	-0.041
508.0	-0.052
508.5	-0.035
509.0	-0.027
509.5	-0.044
510.0	-0.045
510.5	-0.056
511.0	-0.059
511.5	-0.059
512.0	-0.061
512.5	-0.055
513.0	-0.073
513.5	-0.067
514.0	-0.048
514.5	-0.041
515.0	-0.010
515.5	0.001
516.0	-0.018
516.5	-0.006
517.0	0.012
517.5	-0.032
518.0	-0.105
518.5	-0.150
519.0	-0.158
519.5	-0.181
520.0	-0.147
520.5	-0.144
521.0	-0.135
521.5	-0.071
522.0	-0.027
522.5	-0.064
523.0	-0.098
523.5	-0.113
524.0	-0.127
524.5	-0.130
525.0	-0.103
525.5	-0.098
526.0	-0.112
526.5	-0.103
527.0	-0.092
527.5	-0.118
528.0	-0.137
528.5	-0.145
529.0	-0.145
529.5	-0.104
530.0	-0.064
530.5	-0.028
531.0	-0.061
531.5	-0.067
532.0	-0.043
532.5	-0.048
533.0	-0.048
533.5	-0.077
534.0	-0.107
534.5	-0.117
535.0	-0.110
535.5	-0.084
536.0	-0.108
536.5	-0.125
537.0	-0.086
537.5	-0.072
538.0	-0.056
538.5	-0.035
539.0	-0.043
539.5	-0.014
540.0	-0.007
540.5	0.013
541.0	-0.006
541.5	-0.027
542.0	-0.014
542.5	0.004
543.0	0.010
543.5	0.036
544.0	0.042
544.5	0.039
545.0	-0.003
545.5	-0.030
546.0	-0.064
546.5	-0.099
547.0	-0.118
547.5	-0.137
548.0	-0.151
548.5	-0.139
549.0	-0.129
549.5	-0.110
550.0	-0.069
550.5	-0.035
551.0	-0.044
551.5	-0.044
552.0	-0.017
552.5	-0.014
553.0	-0.010
553.5	0.013
554.0	0.003
554.5	-0.013
555.0	0.015
555.5	0.012
556.0	-0.005
556.5	-0.001
557.0	0.000
557.5	0.016
558.0	0.024
558.5	0.005
559.0	-0.054
559.5	-0.104
560.0	-0.084
560.5	-0.026
561.0	-0.002
561.5	-0.031
562.0	-0.027
562.5	-0.014
563.0	-0.020
563.5	-0.049
564.0	-0.056
564.5	-0.049
565.0	0.015
565.5	0.043
566.0	0.024
566.5	0.006
567.0	0.005
567.5	-0.023
568.0	-0.062
568.5	-0.076
569.0	-0.087
569.5	-0.100
570.0	-0.054
570.5	-0.072
571.0	-0.045
571.5	-0.023
572.0	-0.007
572.5	0.030
573.0	0.083
573.5	0.091
574.0	0.051
574.5	0.014
575.0	0.022
575.5	0.013
576.0	-0.016
576.5	-0.061
577.0	-0.118
577.5	-0.131
578.0	-0.150
578.5	-0.138
579.0	-0.138
579.5	-0.140
580.0	-0.075
580.5	-0.009
581.0	0.021
581.5	0.042
582.0	0.044
582.5	0.070
583.0	0.067
583.5	0.127
584.0	0.148
584.5	0.121
585.0	0.111
585.5	0.074
586.0	0.014
586.5	-0.033
587.0	-0.052
587.5	-0.067
588.0	-0.081
588.5	-0.037
589.0	0.007
589.5	0.031
590.0	0.086
590.5	0.104
591.0	0.085
591.5	0.067
592.0	0.077
592.5	0.062
593.0	0.042
593.5	0.001
594.0	-0.035
594.5	-0.085
595.0	-0.113
595.5	-0.123
596.0	-0.119
596.5	-0.121
597.0	-0.062
597.5	0.035
598.0	0.078
598.5	0.037
599.0	-0.005
599.5	-0.002
600.0	0.017
600.5	0.030
601.0	0.001
601.5	-0.011
602.0	0.016
602.5	0.060
603.0	0.054
603.5	-0.004
604.0	-0.039
604.5	-0.038
605.0	-0.042
605.5	-0.056
606.0	-0.089
606.5	-0.060
607.0	-0.029
607.5	0.034
608.0	0.086
608.5	0.070
609.0	0.050
609.5	0.043
610.0	0.015
610.5	-0.005
611.0	-0.053
611.5	-0.068
612.0	-0.096
612.5	-0.107
613.0	-0.119
613.5	-0.145
614.0	-0.131
614.5	-0.142
615.0	-0.165
615.5	-0.142
616.0	-0.125
616.5	-0.112
617.0	-0.063
617.5	-0.063
618.0	-0.034
618.5	0.005
619.0	0.043
619.5	0.007
620.0	-0.018
620.5	-0.019
621.0	0.007
621.5	0.029
622.0	0.067
622.5	0.065
623.0	0.077
623.5	0.081
624.0	0.060
624.5	0.016
625.0	-0.024
625.5	-0.064
626.0	-0.065
626.5	-0.074
627.0	-0.067
627.5	-0.038
628.0	0.007
628.5	0.015
629.0	-0.005
629.5	-0.017
630.0	-0.020
630.5	-0.042
631.0	-0.077
631.5	-0.093
632.0	-0.071
632.5	-0.019
633.0	0.056
633.5	0.110
634.0	0.100
634.5	0.070
635.0	0.057
635.5	0.043
636.0	0.001
636.5	-0.020
637.0	-0.016
637.5	-0.009
638.0	0.006
638.5	-0.001
639.0	-0.006
639.5	-0.018
640.0	-0.021
640.5	-0.038
641.0	-0.079
641.5	-0.103
642.0	-0.107
642.5	-0.109
643.0	-0.145
643.5	-0.136
644.0	-0.043
644.5	0.033
645.0	0.050
645.5	0.025
646.0	-0.013
646.5	-0.025
647.0	-0.043
647.5	-0.068
648.0	-0.098
648.5	-0.091
649.0	0.007
649.5	0.042
650.0	0.040
650.5	0.028
651.0	-0.006
651.5	-0.028
652.0	-0.055
652.5	-0.049
653.0	-0.002
653.5	0.014
654.0	0.030
654.5	0.013
655.0	0.038
655.5	0.034
656.0	0.027
656.5	0.000
657.0	0.011
657.5	0.058
658.0	0.091
658.5	0.126
659.0	0.111
659.5	0.104
660.0	0.119
660.5	0.121
661.0	0.110
661.5	0.048
662.0	-0.015
662.5	-0.071
663.0	-0.138
663.5	-0.157
664.0	-0.163
664.5	-0.158
665.0	-0.104
665.5	-0.008
666.0	0.026
666.5	0.036
667.0	0.032
667.5	0.012
668.0	-0.028
668.5	-0.035
669.0	0.001
669.5	0.045
670.0	0.052
670.5	0.037
671.0	0.033
671.5	0.003
672.0	-0.032
672.5	-0.073
673.0	-0.148
673.5	-0.117
674.0	-0.054
674.5	0.010
675.0	0.023
675.5	0.044
676.0	0.092
676.5	0.153
677.0	0.175
677.5	0.130
678.0	0.095
678.5	0.067
679.0	0.005
679.5	-0.028
680.0	-0.063
680.5	-0.115
681.0	-0.155
681.5	-0.193
682.0	-0.201
682.5	-0.207
683.0	-0.174
683.5	-0.154
684.0	-0.140
684.5	-0.100
685.0	-0.043
685.5	-0.057
686.0	-0.084
686.5	-0.065
687.0	-0.025
687.5	0.045
688.0	0.106
688.5	0.074
689.0	0.048
689.5	0.080
690.0	0.090
690.5	0.065
691.0	0.020
691.5	-0.010
692.0	-0.048
692.5	-0.035
693.0	-0.072
693.5	-0.116
694.0	-0.104
694.5	-0.077
695.0	-0.034
695.5	0.042
696.0	0.066
696.5	0.098
697.0	0.142
697.5	0.204
698.0	0.198
698.5	0.249
699.0	0.272
699.5	0.182
700.0	0.155
700.5	0.107
701.0	0.041
701.5	0.025
702.0	-0.056
702.5	-0.071
703.0	-0.073
703.5	-0.039
704.0	0.004
704.5	-0.026
705.0	-0.056
705.5	-0.046
706.0	-0.024
706.5	-0.035
707.0	-0.043
707.5	0.043
708.0	0.093
708.5	0.115
709.0	0.130
709.5	0.121
710.0	0.095
710.5	0.179
711.0	0.232
711.5	0.176
712.0	0.230
712.5	0.217
713.0	0.162
713.5	0.060
714.0	-0.034
714.5	-0.145
715.0	-0.145
715.5	-0.053
716.0	0.001
716.5	0.046
717.0	0.081
717.5	0.027
718.0	-0.029
718.5	-0.051
719.0	-0.116
719.5	-0.163
720.0	-0.053
720.5	0.028
721.0	0.071
721.5	0.117
722.0	0.145
722.5	0.124
723.0	0.071
723.5	0.038
724.0	-0.074
724.5	-0.101
725.0	-0.065
725.5	-0.048
726.0	0.006
726.5	0.073
727.0	0.207
727.5	0.281
728.0	0.233
728.5	0.167
729.0	0.026
729.5	-0.111
730.0	-0.191
730.5	-0.178
731.0	-0.144
731.5	-0.067
732.0	0.039
732.5	0.125
733.0	0.167
733.5	0.214
734.0	0.154
734.5	0.090
735.0	0.084
735.5	0.077
736.0	0.049
736.5	-0.001
737.0	-0.033
737.5	-0.030
738.0	-0.020
738.5	-0.040
739.0	-0.067
739.5	-0.108
740.0	-0.123
740.5	-0.092
741.0	-0.028
741.5	0.038
742.0	0.058
742.5	0.091
743.0	0.092
743.5	0.127
744.0	0.106
744.5	0.045
745.0	-0.076
745.5	-0.109
746.0	-0.067
746.5	-0.047
747.0	-0.042
747.5	-0.020
748.0	0.038
748.5	0.085
749.0	0.061
749.5	0.028
750.0	0.000
750.5	-0.002
751.0	0.070
751.5	0.072
752.0	0.075
752.5	0.066
753.0	0.033
753.5	-0.011
754.0	-0.028
754.5	-0.036
755.0	0.038
755.5	0.059
756.0	0.120
756.5	0.097
757.0	0.135
757.5	0.138
758.0	0.083
758.5	0.070
759.0	0.070
759.5	0.057
760.0	0.064
760.5	0.082
761.0	0.139
761.5	0.180
762.0	0.274
762.5	0.313
763.0	0.341
763.5	0.355
764.0	0.396
764.5	0.377
765.0	0.276
765.5	0.174
766.0	0.003
766.5	-0.147
767.0	-0.219
767.5	-0.260
768.0	-0.284
768.5	-0.238
769.0	-0.192
769.5	-0.160
770.0	-0.106
770.5	-0.185
771.0	-0.184
771.5	-0.113
772.0	-0.015
772.5	-0.015
773.0	-0.045
773.5	-0.046
774.0	-0.130
774.5	-0.161
775.0	-0.150
775.5	-0.169
776.0	-0.144
776.5	-0.030
777.0	0.007
777.5	-0.031
778.0	-0.021
778.5	-0.023
779.0	0.006
779.5	0.032
780.0	0.055
780.5	0.048
781.0	-0.020
781.5	-0.006
782.0	-0.075
782.5	-0.152
783.0	-0.178
783.5	-0.143
784.0	-0.074
784.5	-0.073
785.0	-0.120
785.5	-0.182
786.0	-0.211
786.5	-0.271
787.0	-0.345
787.5	-0.340
788.0	-0.343
788.5	-0.282
789.0	-0.274
789.5	-0.250
790.0	-0.242
790.5	-0.177
791.0	-0.133
791.5	-0.176
792.0	-0.189
792.5	-0.145
793.0	-0.130
793.5	-0.128
794.0	-0.151
794.5	-0.092
795.0	-0.059
795.5	0.065
796.0	0.089
796.5	0.049
797.0	0.049
797.5	0.040
798.0	-0.013
798.5	-0.019
799.0	-0.113
799.5	-0.143
800.0	-0.206
800.5	-0.180
801.0	-0.194
801.5	-0.211
802.0	-0.138
802.5	-0.050
803.0	-0.050
803.5	-0.019
804.0	0.026
804.5	0.074
805.0	0.102
805.5	0.112
806.0	0.098
806.5	0.086
807.0	0.125
807.5	0.118
808.0	0.006
808.5	-0.112
809.0	-0.143
809.5	-0.081
810.0	-0.026
810.5	0.032
811.0	0.050
811.5	0.077
812.0	0.051
812.5	0.009
813.0	-0.094
813.5	-0.155
814.0	-0.180
814.5	-0.122
815.0	-0.181
815.5	-0.124
816.0	-0.130
816.5	-0.103
817.0	-0.138
817.5	-0.126
818.0	-0.150
818.5	-0.114
819.0	-0.168
819.5	-0.191
820.0	-0.201
820.5	-0.080
821.0	0.073
821.5	0.277
822.0	0.447
822.5	0.536
823.0	0.538
823.5	0.502
824.0	0.423
824.5	0.358
825.0	0.316
825.5	0.253
826.0	0.232
826.5	0.203
827.0	0.210
827.5	0.161
828.0	0.177
828.5	0.242
829.0	0.306
829.5	0.350
830.0	0.391
830.5	0.312
831.0	0.221
831.5	0.135
832.0	0.126
832.5	0.067
833.0	0.060
833.5	-0.015
834.0	-0.040
834.5	-0.025
835.0	-0.068
835.5	-0.178
836.0	-0.249
836.5	-0.244
837.0	-0.211
837.5	-0.262
838.0	-0.308
838.5	-0.294
839.0	-0.201
839.5	-0.159
840.0	-0.209
840.5	-0.254
841.0	-0.300
841.5	-0.194
842.0	-0.184
842.5	-0.211
843.0	-0.271
843.5	-0.266
844.0	-0.310
844.5	-0.378
845.0	-0.412
845.5	-0.400
846.0	-0.313
846.5	-0.138
847.0	-0.015
847.5	0.096
848.0	0.163
848.5	0.125
849.0	0.118
849.5	0.025
850.0	0.113


Sample 16
4/14/2024 6:36 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.34000	
//WLCalib: 261S 	0.70000	
//WLCalib: 362S 	0.10000	
//WLCalib: 484S 	0.58000	
//WLCalib: 529S 	0.68000	
//WLCalib: 823S 	0.28000	
//QSpecEnd: 
190.0	13.036
190.5	12.976
191.0	13.225
191.5	12.910
192.0	12.577
192.5	12.959
193.0	12.336
193.5	11.914
194.0	11.474
194.5	11.519
195.0	11.353
195.5	11.343
196.0	11.091
196.5	10.849
197.0	10.645
197.5	10.661
198.0	10.562
198.5	10.182
199.0	9.536
199.5	9.237
200.0	9.077
200.5	9.127
201.0	8.800
201.5	8.829
202.0	8.841
202.5	8.946
203.0	8.590
203.5	8.039
204.0	7.425
204.5	7.536
205.0	7.523
205.5	7.399
206.0	7.155
206.5	7.067
207.0	7.015
207.5	6.737
208.0	6.234
208.5	5.942
209.0	5.487
209.5	5.459
210.0	5.137
210.5	5.228
211.0	5.115
211.5	5.154
212.0	4.771
212.5	4.360
213.0	3.912
213.5	3.637
214.0	3.042
214.5	2.828
215.0	2.410
215.5	2.366
216.0	2.424
216.5	2.419
217.0	2.249
217.5	2.512
218.0	2.683
218.5	2.776
219.0	2.445
219.5	2.104
220.0	1.754
220.5	1.636
221.0	1.477
221.5	1.314
222.0	1.292
222.5	1.380
223.0	1.427
223.5	1.423
224.0	1.297
224.5	1.296
225.0	1.510
225.5	1.633
226.0	1.699
226.5	1.695
227.0	1.777
227.5	1.706
228.0	1.709
228.5	1.666
229.0	1.584
229.5	1.641
230.0	1.748
230.5	1.856
231.0	1.950
231.5	2.043
232.0	2.094
232.5	2.181
233.0	2.246
233.5	2.313
234.0	2.398
234.5	2.505
235.0	2.595
235.5	2.692
236.0	2.791
236.5	2.909
237.0	2.994
237.5	3.058
238.0	3.167
238.5	3.223
239.0	3.288
239.5	3.379
240.0	3.428
240.5	3.548
241.0	3.656
241.5	3.762
242.0	3.895
242.5	3.982
243.0	4.072
243.5	4.128
244.0	4.250
244.5	4.361
245.0	4.452
245.5	4.544
246.0	4.640
246.5	4.703
247.0	4.824
247.5	4.896
248.0	4.958
248.5	5.064
249.0	5.129
249.5	5.178
250.0	5.165
250.5	5.190
251.0	5.192
251.5	5.089
252.0	5.049
252.5	5.014
253.0	4.989
253.5	4.951
254.0	4.917
254.5	4.911
255.0	4.869
255.5	4.887
256.0	4.889
256.5	4.899
257.0	4.890
257.5	4.927
258.0	4.873
258.5	4.747
259.0	4.653
259.5	4.532
260.0	4.362
260.5	4.254
261.0	4.171
261.5	4.185
262.0	4.214
262.5	4.215
263.0	4.198
263.5	4.144
264.0	4.163
264.5	4.155
265.0	4.112
265.5	4.011
266.0	3.898
266.5	3.859
267.0	3.780
267.5	3.638
268.0	3.586
268.5	3.549
269.0	3.537
269.5	3.522
270.0	3.504
270.5	3.456
271.0	3.417
271.5	3.392
272.0	3.380
272.5	3.391
273.0	3.441
273.5	3.458
274.0	3.334
274.5	3.296
275.0	3.238
275.5	3.192
276.0	3.200
276.5	3.161
277.0	3.172
277.5	3.192
278.0	3.177
278.5	3.184
279.0	3.063
279.5	3.041
280.0	2.959
280.5	2.902
281.0	2.831
281.5	2.700
282.0	2.595
282.5	2.489
283.0	2.414
283.5	2.357
284.0	2.293
284.5	2.215
285.0	2.157
285.5	2.072
286.0	1.981
286.5	1.880
287.0	1.749
287.5	1.655
288.0	1.609
288.5	1.536
289.0	1.461
289.5	1.388
290.0	1.335
290.5	1.231
291.0	1.139
291.5	1.034
292.0	0.975
292.5	0.901
293.0	0.820
293.5	0.691
294.0	0.619
294.5	0.565
295.0	0.495
295.5	0.464
296.0	0.429
296.5	0.395
297.0	0.400
297.5	0.338
298.0	0.247
298.5	0.166
299.0	0.128
299.5	0.077
300.0	0.085
300.5	0.112
301.0	0.084
301.5	0.082
302.0	0.090
302.5	0.074
303.0	0.007
303.5	-0.002
304.0	-0.074
304.5	-0.121
305.0	-0.148
305.5	-0.172
306.0	-0.141
306.5	-0.101
307.0	-0.052
307.5	-0.021
308.0	-0.017
308.5	0.056
309.0	0.045
309.5	0.044
310.0	0.014
310.5	0.026
311.0	0.036
311.5	0.069
312.0	0.119
312.5	0.133
313.0	0.111
313.5	0.146
314.0	0.112
314.5	0.090
315.0	0.026
315.5	0.025
316.0	-0.004
316.5	0.048
317.0	0.055
317.5	0.126
318.0	0.141
318.5	0.155
319.0	0.135
319.5	0.136
320.0	0.108
320.5	0.134
321.0	0.103
321.5	0.088
322.0	0.063
322.5	0.096
323.0	0.055
323.5	0.014
324.0	-0.001
324.5	0.003
325.0	-0.031
325.5	-0.066
326.0	-0.114
326.5	-0.127
327.0	-0.145
327.5	-0.154
328.0	-0.111
328.5	-0.054
329.0	0.024
329.5	0.067
330.0	0.065
330.5	0.060
331.0	0.077
331.5	0.072
332.0	0.048
332.5	0.034
333.0	0.077
333.5	0.052
334.0	0.075
334.5	0.071
335.0	0.056
335.5	0.032
336.0	0.034
336.5	0.001
337.0	0.026
337.5	0.056
338.0	0.030
338.5	-0.038
339.0	-0.009
339.5	0.036
340.0	0.056
340.5	0.106
341.0	0.121
341.5	0.123
342.0	0.185
342.5	0.201
343.0	0.121
343.5	0.066
344.0	0.049
344.5	0.058
345.0	0.056
345.5	0.021
346.0	-0.043
346.5	-0.052
347.0	0.009
347.5	0.075
348.0	0.114
348.5	0.163
349.0	0.211
349.5	0.214
350.0	0.215
350.5	0.150
351.0	0.084
351.5	0.049
352.0	0.042
352.5	0.026
353.0	-0.010
353.5	0.008
354.0	0.020
354.5	0.011
355.0	0.036
355.5	0.067
356.0	0.061
356.5	0.018
357.0	0.013
357.5	0.014
358.0	0.026
358.5	0.042
359.0	0.036
359.5	0.024
360.0	0.051
360.5	0.062
361.0	0.052
361.5	-0.025
362.0	-0.010
362.5	0.020
363.0	0.069
363.5	0.094
364.0	0.142
364.5	0.145
365.0	0.201
365.5	0.170
366.0	0.177
366.5	0.123
367.0	0.096
367.5	0.089
368.0	0.098
368.5	0.107
369.0	0.105
369.5	0.093
370.0	0.133
370.5	0.137
371.0	0.136
371.5	0.105
372.0	0.083
372.5	0.116
373.0	0.131
373.5	0.102
374.0	0.061
374.5	0.073
375.0	0.053
375.5	0.025
376.0	-0.015
376.5	-0.016
377.0	-0.006
377.5	0.003
378.0	0.010
378.5	-0.038
379.0	-0.033
379.5	0.035
380.0	0.066
380.5	0.095
381.0	0.138
381.5	0.213
382.0	0.203
382.5	0.177
383.0	0.148
383.5	0.079
384.0	0.053
384.5	0.048
385.0	0.052
385.5	0.026
386.0	0.011
386.5	0.022
387.0	0.049
387.5	0.094
388.0	0.149
388.5	0.155
389.0	0.136
389.5	0.112
390.0	0.118
390.5	0.054
391.0	0.005
391.5	-0.035
392.0	-0.032
392.5	-0.026
393.0	0.010
393.5	0.004
394.0	0.017
394.5	0.048
395.0	0.102
395.5	0.110
396.0	0.146
396.5	0.111
397.0	0.065
397.5	0.047
398.0	0.005
398.5	0.011
399.0	0.014
399.5	0.038
400.0	0.090
400.5	0.127
401.0	0.147
401.5	0.108
402.0	0.069
402.5	0.034
403.0	0.006
403.5	0.027
404.0	0.042
404.5	0.064
405.0	0.067
405.5	0.077
406.0	0.085
406.5	0.058
407.0	0.062
407.5	0.076
408.0	0.098
408.5	0.135
409.0	0.124
409.5	0.113
410.0	0.069
410.5	0.084
411.0	0.102
411.5	0.086
412.0	0.110
412.5	0.141
413.0	0.152
413.5	0.135
414.0	0.113
414.5	0.109
415.0	0.051
415.5	0.070
416.0	0.051
416.5	0.044
417.0	0.030
417.5	0.039
418.0	0.077
418.5	0.073
419.0	0.109
419.5	0.117
420.0	0.101
420.5	0.102
421.0	0.078
421.5	0.082
422.0	0.052
422.5	0.061
423.0	0.098
423.5	0.103
424.0	0.141
424.5	0.150
425.0	0.117
425.5	0.090
426.0	0.061
426.5	0.036
427.0	-0.011
427.5	-0.003
428.0	0.019
428.5	0.037
429.0	0.060
429.5	0.070
430.0	0.065
430.5	0.076
431.0	0.047
431.5	0.031
432.0	0.005
432.5	0.032
433.0	0.049
433.5	0.063
434.0	0.081
434.5	0.081
435.0	0.074
435.5	0.061
436.0	0.039
436.5	0.030
437.0	0.007
437.5	-0.001
438.0	-0.001
